,fold,phase,epoch,loss,accuracy
296,3,train,13,0.951894638782693,38.9
297,3,val,13,1.7265315766517932,22.89
298,3,train,14,0.9086623761812639,44.72
299,3,val,14,1.6055128957544054,32.01
300,3,train,15,0.8923241195728511,50.67
301,3,val,15,1.5063580474355718,30.29
302,3,train,16,0.8653540828754012,57.15
303,3,val,16,1.6755293574961987,31.15
304,3,train,17,0.8411555862535696,40.93
305,3,val,17,2.000384223002654,24.61
306,3,train,18,0.8229030063351515,60.46
307,3,val,18,1.8630348961431902,33.22
308,3,train,19,0.7963069753998565,55.58
309,3,val,19,1.6638115621530092,25.13
310,3,train,20,0.7730588919967024,60.91
311,3,val,20,1.817356520956689,31.5
312,3,train,21,0.7297365590540921,66.55
313,3,val,21,2.3786549355302538,31.33
314,3,train,22,0.713256260958882,61.38
315,3,val,22,2.0364647769665982,30.81
316,3,train,23,0.6715443363661243,69.79
317,3,val,23,2.0478485573779097,27.02
318,3,train,24,0.6324074751753409,67.36
319,3,val,24,1.9218554575364668,27.19
320,3,train,25,0.6069069629043885,62.28
321,3,val,25,2.506215199009403,33.05
322,3,train,26,0.5722093285491822,62.57
323,3,val,26,2.3249171448277903,29.6
324,3,train,27,0.5391353948464904,77.69
325,3,val,27,2.4341147928447513,34.6
326,3,train,28,0.5180664648430777,76.51
327,3,val,28,1.8764793299711668,25.47
328,3,train,29,0.4901410830219327,65.93
329,3,val,29,2.1171015206274095,33.22
330,3,train,30,0.46318782774571027,71.57
331,3,val,30,2.301525060619627,27.02
332,3,train,31,0.4392352899628893,79.05
333,3,val,31,2.003022394992493,27.19
334,3,train,32,0.4189834504658186,80.08
335,3,val,32,2.4514535121865326,23.58
336,3,train,33,0.3902484185886679,63.57
337,3,val,33,3.015683666035369,32.53
338,3,train,34,0.37255080972187826,85.66
339,3,val,34,2.920155096185076,23.75
340,3,train,35,0.341897247509919,57.48
341,3,val,35,2.561467472013536,31.84
342,3,train,36,0.33832428550381727,86.1
343,3,val,36,2.7003122908728465,21.86
344,3,train,37,0.3118225328293544,83.0
345,3,val,37,2.7012337085964915,19.1
346,3,train,38,0.2988966810942552,87.1
347,3,val,38,3.215606322655311,21.69
348,3,train,39,0.2972986684314537,84.05
349,3,val,39,3.0373775906615204,23.06
350,3,train,40,0.2629255572450651,84.91
351,3,val,40,2.8123909870346826,22.03
352,3,train,41,0.255204509034286,87.44
353,3,val,41,2.927407871890854,20.65
354,3,train,42,0.2528342731982742,75.58
355,3,val,42,3.1081831402831024,24.44
356,3,train,43,0.2393957664728087,82.24
357,3,val,43,2.954859360233768,18.24
358,3,train,44,0.2263451004668331,76.86
359,3,val,44,2.5170493129190508,22.38
360,4,train,0,1.415969965792207,21.77
361,4,val,0,1.3931231305237215,21.85
362,4,train,1,1.394210881184018,18.34
363,4,val,1,1.4180721181849534,17.76
364,4,train,2,1.3655454486450822,20.58
365,4,val,2,1.454771716557248,17.73
366,4,train,3,1.3413916398923864,16.52
367,4,val,3,1.6399585195860937,14.78
368,4,train,4,1.284006383526262,28.51
369,4,val,4,1.5521296684030463,25.16
370,4,train,5,1.2220049241074808,42.56
371,4,val,5,1.3820401058771223,25.1
372,4,train,6,1.166769986982068,46.31
373,4,val,6,1.6455975658606485,21.85
374,4,train,7,1.1372217815073709,46.32
375,4,val,7,1.8335471886614854,20.94
376,4,train,8,1.0991831458119488,41.74
377,4,val,8,1.5999802725477368,19.43
378,4,train,9,1.0368449005579192,46.4
379,4,val,9,1.559855886154774,21.1
380,4,train,10,1.020146311512069,44.59
381,4,val,10,1.7861694490722337,23.03
382,4,train,11,0.9988354067244227,43.91
383,4,val,11,1.777934416426414,19.27
384,4,train,12,0.9610948054484589,53.29
385,4,val,12,1.670881653019271,19.0
386,4,train,13,0.8988995472432444,50.48
387,4,val,13,1.845364363405717,17.4
388,4,train,14,0.8910594299908668,53.2
389,4,val,14,2.2875739935180905,14.38
390,4,train,15,0.8701497984941674,55.64
391,4,val,15,2.1977304619644324,14.91
392,4,train,16,0.8439643162268179,53.08
393,4,val,16,2.0636251790361255,19.95
394,4,train,17,0.8163575777813555,59.14
395,4,val,17,2.1492902870577666,18.94
396,4,train,18,0.7897284289122258,59.0
397,4,val,18,2.4799163965654625,22.08
398,4,train,19,0.7706329662096564,55.91
399,4,val,19,2.2562535295935824,25.88
400,4,train,20,0.7292449617038959,66.01
401,4,val,20,2.515632214970614,22.25
402,4,train,21,0.7066365411436116,69.67
403,4,val,21,3.017292758557185,21.63
404,4,train,22,0.6813105367242344,59.99
405,4,val,22,2.2833462123471406,26.38
406,4,train,23,0.6408476023368104,65.72
407,4,val,23,2.143609751893588,21.63
408,4,train,24,0.6137062119783232,72.03
409,4,val,24,2.7086141558841885,22.44
410,4,train,25,0.5870767162038536,73.27
411,4,val,25,2.8228320707201333,22.61
412,4,train,26,0.5739349755680277,73.57
